#{"t_start": 1764216637.671851, "env_id": "None"}
r,l,t
18.0,18,1.817511
31.0,31,1.82051
17.0,17,1.822509
37.0,37,11.138063
15.0,15,11.308093
24.0,24,11.603012
46.0,46,12.181764
21.0,21,12.441557
16.0,16,12.623211
17.0,17,12.826802
39.0,39,13.281401
44.0,44,13.713784
12.0,12,13.822573
23.0,23,14.02841
16.0,16,14.174853
20.0,20,14.367892
20.0,20,14.58563
35.0,35,14.957509
27.0,27,15.226608
18.0,18,15.385652
26.0,26,15.647979
44.0,44,16.107137
17.0,17,16.282391
52.0,52,16.85283
18.0,18,17.033679
11.0,11,17.133814
30.0,30,17.464738
34.0,34,17.761216
16.0,16,17.919653
17.0,17,18.074163
49.0,49,18.529034
22.0,22,18.731847
15.0,15,18.868956
14.0,14,19.001964
22.0,22,19.188913
17.0,17,19.358595
22.0,22,19.632815
22.0,22,19.845105
18.0,18,20.035092
33.0,33,20.320238
32.0,32,20.61902
38.0,38,20.973632
17.0,17,21.122248
35.0,35,21.483155
15.0,15,21.635242
9.0,9,21.758762
45.0,45,22.220687
35.0,35,22.58276
33.0,33,22.887937
57.0,57,23.520782
53.0,53,24.080158
25.0,25,24.314976
90.0,90,25.182471
99.0,99,26.196463
80.0,80,26.992143
60.0,60,27.647605
73.0,73,28.423178
86.0,86,29.221068
73.0,73,29.954809
129.0,129,31.360546
55.0,55,32.072236
30.0,30,32.314839
36.0,36,32.722651
130.0,130,34.233418
293.0,293,37.544755
98.0,98,38.512119
111.0,111,39.536475
105.0,105,40.585427
175.0,175,42.364299
195.0,195,44.568563
151.0,151,45.91479
198.0,198,47.66941
204.0,204,49.608524
153.0,153,51.002016
196.0,196,52.799859
278.0,278,55.29603
183.0,183,56.982699
245.0,245,59.25406
166.0,166,62.42302
146.0,146,63.755567
138.0,138,65.037784
173.0,173,66.607186
157.0,157,68.058065
226.0,226,70.047211
177.0,177,71.605306
162.0,162,72.987039
280.0,280,75.37754
282.0,282,77.879222
221.0,221,79.811925
133.0,133,80.976716
216.0,216,82.87751
154.0,154,84.194287
265.0,265,86.557417
171.0,171,88.11078
162.0,162,89.553788
146.0,146,90.903927
202.0,202,92.701479
168.0,168,94.146777
160.0,160,95.602325
174.0,174,97.183386
187.0,187,98.900216
190.0,190,100.650066
198.0,198,102.429028
169.0,169,103.941187
223.0,223,106.120252
157.0,157,108.924318
169.0,169,110.426966
164.0,164,111.906394
206.0,206,113.816577
159.0,159,115.290764
197.0,197,117.214349
164.0,164,118.714211
223.0,223,120.717756
230.0,230,122.874204
184.0,184,124.52671
156.0,156,125.941684
210.0,210,127.844987
164.0,164,129.380679
184.0,184,131.063098
259.0,259,133.495012
257.0,257,136.818995
209.0,209,139.665216
181.0,181,141.855826
179.0,179,144.038162
159.0,159,145.983213
193.0,193,148.429659
174.0,174,150.881006
287.0,287,154.76639
180.0,180,157.17833
154.0,154,159.072957
191.0,191,161.378782
166.0,166,165.261179
194.0,194,167.963998
203.0,203,170.557024
176.0,176,172.700369
218.0,218,175.162229
182.0,182,177.270877
189.0,189,179.671103
198.0,198,182.051168
169.0,169,184.233342
223.0,223,187.034106
167.0,167,188.983157
150.0,150,190.754433
192.0,192,192.988724
177.0,177,194.831115
163.0,163,196.68464
187.0,187,198.866993
261.0,261,201.690335
216.0,216,203.802835
174.0,174,205.652936
177.0,177,207.493208
178.0,178,209.489727
178.0,178,211.460036
184.0,184,213.506001
151.0,151,215.241659
172.0,172,216.937473
174.0,174,218.602588
243.0,243,222.727769
209.0,209,224.976225
158.0,158,226.487831
153.0,153,227.865817
178.0,178,229.514525
206.0,206,231.303732
185.0,185,232.920382
236.0,236,235.076518
217.0,217,237.077348
195.0,195,238.802407
192.0,192,240.575329
138.0,138,241.957694
201.0,201,243.755461
141.0,141,245.064612
157.0,157,246.552145
149.0,149,247.898224
144.0,144,249.238924
183.0,183,250.981308
188.0,188,252.861854
179.0,179,254.476321
160.0,160,255.891052
188.0,188,257.566183
169.0,169,258.966342
244.0,244,261.136081
163.0,163,262.580398
159.0,159,263.987447
190.0,190,265.656219
157.0,157,267.109152
142.0,142,268.359318
175.0,175,271.03378
150.0,150,272.317843
158.0,158,273.665667
192.0,192,275.301862
170.0,170,276.763756
149.0,149,278.131852
146.0,146,279.397473
158.0,158,280.748827
154.0,154,282.087145
163.0,163,283.51434
165.0,165,284.955871
205.0,205,286.803774
149.0,149,288.154852
189.0,189,289.829835
153.0,153,291.156683
199.0,199,292.914269
154.0,154,294.293976
165.0,165,295.717974
176.0,176,297.271101
161.0,161,298.718204
160.0,160,300.136067
164.0,164,301.548599
152.0,152,302.964342
158.0,158,304.393248
157.0,157,305.805991
152.0,152,307.138859
173.0,173,308.678117
202.0,202,310.475415
169.0,169,311.966207
172.0,172,313.493152
190.0,190,318.135113
237.0,237,321.23208
235.0,235,324.125287
177.0,177,326.25334
181.0,181,328.566618
252.0,252,331.983435
212.0,212,334.880425
222.0,222,337.657028
194.0,194,339.898743
192.0,192,342.231134
191.0,191,344.662773
176.0,176,347.048384
160.0,160,349.311839
176.0,176,351.615758
172.0,172,353.658102
172.0,172,355.749841
166.0,166,357.726274
168.0,168,359.744692
161.0,161,361.860642
161.0,161,364.093774
157.0,157,366.157132
159.0,159,368.277592
171.0,171,370.249949
162.0,162,372.287136
168.0,168,374.256619
177.0,177,376.2941
218.0,218,378.994581
181.0,181,382.281286
205.0,205,384.387146
162.0,162,386.201903
198.0,198,388.266388
212.0,212,390.613016
192.0,192,392.680481
181.0,181,394.762495
189.0,189,397.074569
198.0,198,399.323634
180.0,180,401.235048
213.0,213,403.454406
220.0,220,405.476104
255.0,255,407.650594
249.0,249,409.824124
196.0,196,411.503958
211.0,211,413.387975
192.0,192,415.04607
227.0,227,417.047789
219.0,219,418.921581
271.0,271,421.548516
318.0,318,424.441778
216.0,216,426.462648
272.0,272,428.846833
235.0,235,432.886448
242.0,242,435.106834
204.0,204,436.993099
205.0,205,438.893008
211.0,211,440.785616
235.0,235,442.923657
224.0,224,444.917274
237.0,237,447.099406
231.0,231,449.228592
228.0,228,451.340723
346.0,346,454.623676
293.0,293,457.352863
235.0,235,459.526471
268.0,268,461.930297
260.0,260,464.205399
267.0,267,466.716943
237.0,237,468.928872
201.0,201,470.843021
208.0,208,472.82393
234.0,234,475.106095
230.0,230,477.198943
292.0,292,481.453909
249.0,249,483.769639
254.0,254,486.099098
201.0,201,487.898203
213.0,213,489.810506
213.0,213,491.776908
191.0,191,493.599424
246.0,246,496.938906
237.0,237,500.259144
233.0,233,503.234344
309.0,309,506.967792
418.0,418,512.440755
275.0,275,516.143069
303.0,303,519.815434
301.0,301,523.569368
235.0,235,526.277818
291.0,291,529.874488
406.0,406,534.965171
287.0,287,540.891223
440.0,440,546.55752
325.0,325,550.24872
500.0,500,555.425627
376.0,376,559.174425
356.0,356,563.030133
455.0,455,567.748882
340.0,340,571.294769
344.0,344,574.750921
500.0,500,580.061349
311.0,311,583.610155
318.0,318,586.429018
346.0,346,589.424188
292.0,292,594.03589
285.0,285,596.611274
324.0,324,599.56339
500.0,500,604.22521
500.0,500,608.978852
500.0,500,613.645221
433.0,433,617.479685
500.0,500,621.844436
500.0,500,626.239725
500.0,500,630.637601
500.0,500,635.060049
500.0,500,642.933476
500.0,500,647.334116
500.0,500,651.739122
500.0,500,656.048282
500.0,500,660.401381
500.0,500,664.780964
500.0,500,669.073259
500.0,500,673.382526
500.0,500,679.62693
500.0,500,685.61728
500.0,500,696.597558
500.0,500,702.925742
500.0,500,709.217436
500.0,500,715.039982
500.0,500,721.681662
500.0,500,727.963199
500.0,500,734.195794
500.0,500,739.993224
500.0,500,745.320151
500.0,500,751.262075
500.0,500,760.917655
500.0,500,766.076021
500.0,500,770.962705
500.0,500,775.96947
500.0,500,780.921383
500.0,500,785.849648
500.0,500,790.870628
500.0,500,795.599787
500.0,500,800.043749
500.0,500,804.524476
500.0,500,812.404264
500.0,500,816.787612
500.0,500,821.170641
500.0,500,825.544322
500.0,500,830.088308
500.0,500,834.405005
500.0,500,838.784277
500.0,500,843.088645
500.0,500,847.527248
500.0,500,852.035483
500.0,500,861.921826
500.0,500,868.315259
500.0,500,874.103221
500.0,500,879.359334
500.0,500,885.963954
500.0,500,892.229676
500.0,500,898.543413
500.0,500,905.193747
500.0,500,911.184439
500.0,500,917.77226
500.0,500,927.669415
500.0,500,933.962727
500.0,500,939.495558
500.0,500,945.460662
500.0,500,950.412059
500.0,500,955.250658
500.0,500,960.142444
500.0,500,965.068001
500.0,500,969.844779
500.0,500,974.814549
500.0,500,982.991968
500.0,500,987.592986
500.0,500,992.458263
500.0,500,997.226915
500.0,500,1002.074927
500.0,500,1006.874452
500.0,500,1011.730926
500.0,500,1016.491298
500.0,500,1021.063004
500.0,500,1025.678874
500.0,500,1033.879437
500.0,500,1040.287747
500.0,500,1046.261435
500.0,500,1053.157341
500.0,500,1059.294588
500.0,500,1065.747234
500.0,500,1072.128157
500.0,500,1078.002187
500.0,500,1083.993452
500.0,500,1089.883983
